stage,AUC,PR_AUC,Brier,Accuracy,Precision,Recall,F1,ECE,Q1_error_rate,Q4_error_rate,Q4_minus_Q1_error,auto_process_pct,manual_review_pct,escalate_pct,mean_cost
logit,0.6176242654780351,0.34669728826121715,0.1892737742486286,0.7353748498884886,0.3684210526315789,0.003031943692474283,0.006014391579851788,0.03234210343283173,,,,,,,
rf,0.6346750930423062,0.36534846318840847,0.18720903283685883,0.7359467032652828,0.5,0.0007579859231185707,0.00151367715428695,0.0328002563771941,,,,,,,
extra_trees,0.6244064416329742,0.35669260935333447,0.188532129569736,0.7361182592783211,0.5394736842105263,0.004439631835408771,0.008806787670497262,0.03250210243868688,,,,,,,
hgb,0.642760922696294,0.37555620710420695,0.18591776756804376,0.7360610739406416,0.5232558139534884,0.004872766648619383,0.00965561635017702,0.0312986135595413,,,,,,,
xgb,0.6526078717864411,0.38681953359618493,0.18484820799746415,0.7370618173500314,0.536723163841808,0.03086085544125609,0.058365758754863814,0.03277235129641072,,,,,,,
catboost,0.6517776518532326,0.38685876290494997,0.1846744984367075,0.7361468519471608,0.547945205479452,0.004331348132106118,0.008594757198109154,0.03150728389649046,,,,,,,
six_model_ensemble,0.6472372521013018,0.38223940572477394,0.1856961149054834,0.7363470006290387,0.8181818181818182,0.001949106659447753,0.003888948903532462,0.032626220011016796,,,,,,,
ensemble_plus_uncertainty,0.6472372521013018,0.38223940572477394,0.1856961149054834,0.7363470006290387,0.8181818181818182,0.001949106659447753,0.003888948903532462,0.032626220011016796,0.21180237877401642,0.3451509606587374,0.13334858188472098,,,,
probability_only_routing,,,,,,,,,,,,38.13118316463659,61.865957568479445,0.0028592668839709,0.9300337393492308
uncertainty_aware_routing,,,,,,,,,,,,38.053982958769375,61.94601704123063,0.0,0.9305484073883457
