logit,xgb,rf,extra_trees,catboost,hgb,ensemble_probability,prediction_variance,prediction_std,ensemble_prediction,actual_label,correct,uncertainty_group,probability_only_decision,uncertainty_aware_decision,probability_only_cost,uncertainty_aware_cost
0.1524352056347904,0.13596454735912938,0.1402065697138866,0.1670381037159646,0.12892597767828248,0.1309973679840178,0.1425946286810119,0.00015218710092018502,0.04850119550630544,0,0,1,Q1_low,auto_process,auto_process,0.0,0.0
0.08931476663360019,0.12476240980434601,0.12134845930644989,0.1623079609371666,0.10750202041710116,0.10700523593625937,0.11870680883915387,0.0004387250459304015,0.04374642486838014,0,0,1,Q2,auto_process,auto_process,0.0,0.0
0.26939196385267045,0.257121469017244,0.28437928009617125,0.23078325515957804,0.27833265599900064,0.2520192966956416,0.26200465347005103,0.00027430407010091656,0.08793467555030471,0,0,1,Q2,manual_review,manual_review,1.0,1.0
0.2640720561402997,0.2183959785712867,0.2210633905316252,0.22688491503068403,0.25519316744106857,0.29047081589754997,0.24601338726875235,0.0005911384137452766,0.08429193251739371,0,1,0,Q3,manual_review,manual_review,1.0,1.0
0.2508682992860716,0.20328476080088215,0.2488639458671592,0.258286562006407,0.24755811540756908,0.2409340705605116,0.24163262565476676,0.0002744430574749562,0.081312016463327,0,0,1,Q2,manual_review,manual_review,1.0,1.0
0.1337578015416375,0.14318764393296338,0.1500555964840934,0.15470418473146624,0.12591609233690954,0.13417829383563074,0.1402999354771168,8.54518763841502e-05,0.04717090187509889,0,0,1,Q1_low,auto_process,auto_process,0.0,0.0
0.18446530287143426,0.21956260491138155,0.2013595530474354,0.1792300997802291,0.2335660448263475,0.22352897935881538,0.20695209746594054,0.0003496516779027739,0.07053063255176666,0,0,1,Q2,manual_review,manual_review,1.0,1.0
0.07068550328092735,0.1636546912933351,0.13975001346843077,0.1417326007642107,0.1281075962804627,0.16612555596547013,0.13500932684213948,0.0008630916147996094,0.05218650708762929,0,0,1,Q3,auto_process,auto_process,0.0,0.0
0.2663824453843247,0.2709489875538701,0.29787435462922074,0.3058697350176342,0.2849220504206257,0.3034684533854533,0.2882443377318548,0.00020332494573310303,0.09618988157293988,0,0,1,Q1_low,manual_review,manual_review,1.0,1.0
0.2105690132704076,0.1438407280305667,0.1614663997467361,0.16994449255342284,0.13018864880776163,0.15728121593343158,0.1622150830570544,0.0005408656175852551,0.05772487855625861,0,1,0,Q3,auto_process,auto_process,5.0,5.0
0.21850542356533656,0.3376928630162563,0.24672663418211183,0.21078007070725815,0.31197831761749234,0.2834586605330876,0.26819032827025713,0.0018866185585967137,0.09699180860425487,0,0,1,Q4_high,manual_review,manual_review,1.0,1.0
0.2916874988150869,0.3684407048546019,0.3403725488748001,0.34125861928124557,0.4057724523122626,0.35526153824400913,0.350465560397001,0.0010066366692472284,0.11932246416542373,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.1947212358712099,0.27277238781298035,0.31372391727129745,0.28070826331258647,0.27982275768168974,0.2963935193488882,0.273023680216442,0.0012056106982068625,0.09558288611166924,0,1,0,Q4_high,manual_review,manual_review,1.0,1.0
0.1291995071137422,0.195095251834744,0.16126248190939288,0.14940069856054186,0.20042375469367874,0.17870578836216555,0.16901458041237757,0.0005415280880962972,0.05981844385952545,0,0,1,Q3,auto_process,auto_process,0.0,0.0
0.24981566016275933,0.33165280112701967,0.3313863289980461,0.2950278204654001,0.34325763732495534,0.32828826693399266,0.3132380858353622,0.0008785942478491272,0.1069594287695411,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.19645295677051244,0.18892588210256123,0.17000303844136216,0.1879010580254607,0.1564363178194041,0.14704926110040084,0.1744614190432836,0.000281382879140119,0.059703464647534656,0,0,1,Q2,auto_process,auto_process,0.0,0.0
0.2144035128442605,0.1844274604465997,0.20801010428660743,0.2586123147008444,0.18205948101280706,0.19633839312938822,0.20730854440341792,0.0005663301477563568,0.0719060683245959,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.2502991246382414,0.3424883729667453,0.2828814731642453,0.25274132022008133,0.3045287355005311,0.3103993055840105,0.29055638867897576,0.0009136328368316586,0.09987601070713537,0,1,0,Q3,manual_review,manual_review,1.0,1.0
0.21444478368033817,0.14495693126242443,0.17281260453331676,0.20418505049385977,0.12219911501076919,0.15035688766311664,0.16815922877397083,0.0009184954779298849,0.062151778292873494,0,0,1,Q3,auto_process,auto_process,0.0,0.0
0.10770252535757915,0.15789516352944002,0.12809961369322595,0.12403994156541666,0.12953138878046988,0.14377563313073077,0.13184071100947706,0.0002120156644181886,0.045613127098168456,0,0,1,Q1_low,auto_process,auto_process,0.0,0.0
0.14958040339481166,0.09324458220427696,0.13187614986592786,0.12579313689864313,0.05912833299567237,0.07180892325081836,0.10523858810169172,0.0009265428645614341,0.044730690646620094,0,0,1,Q3,auto_process,auto_process,0.0,0.0
0.26365894857742783,0.3390652202229232,0.3834281436717554,0.3556956893074526,0.3235030187813394,0.31263914077089955,0.32966502688863303,0.0011915836089933663,0.11332973894538802,0,0,1,Q4_high,manual_review,manual_review,1.0,1.0
0.27291128741148746,0.27196961148086995,0.33515310545625354,0.24822918897849605,0.2934192459530252,0.3183796486577408,0.2900103479896455,0.0007454025217371519,0.0990156239212675,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.23845236900266695,0.26034663576677863,0.2967920446777578,0.2477001429833507,0.2173261517814607,0.24082568225478118,0.25024050441113266,0.0005123695500044287,0.08526078415924626,0,0,1,Q2,manual_review,manual_review,1.0,1.0
0.1543939847752542,0.1360264032343824,0.1116370593309868,0.1151512849957146,0.1284708425104874,0.107506160210446,0.12553095584287857,0.0002253632819267065,0.04375549688275864,0,0,1,Q1_low,auto_process,auto_process,0.0,0.0
0.32344824615575735,0.27038927939466895,0.2814896504155483,0.23885651264284882,0.2730426871532625,0.27749328456851863,0.27745327672176745,0.0005272706689142965,0.09406972540836187,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.34943760641241794,0.4327754037641038,0.3329261658874442,0.2596154560314956,0.4007208009215066,0.4017525760282031,0.36287133484086187,0.0027956952232451246,0.12894646395306716,0,1,0,Q4_high,manual_review,manual_review,1.0,1.0
0.24765703682083404,0.3028179557457492,0.307618566306769,0.3087410350627673,0.3595122077526894,0.33904255752690293,0.31089822653595195,0.001033653005080987,0.1067998233986437,0,0,1,Q3,manual_review,manual_review,1.0,1.0
0.15504451307364486,0.1364343285849151,0.18389240841511983,0.18583512474977257,0.1272909136885339,0.12718386853027586,0.15261352617371035,0.000519660201297516,0.05463354906466882,0,0,1,Q2,auto_process,auto_process,0.0,0.0
0.1935237525919087,0.1781532518753802,0.1438479884750704,0.1488597648745519,0.15652455136263468,0.12616267753108204,0.157845331118438,0.0004239374862296716,0.05551055156463053,0,0,1,Q2,auto_process,auto_process,0.0,0.0
0.14799335165903665,0.13532313251974792,0.13109313537164732,0.13313508382524533,0.14284600446301202,0.13553986011421038,0.1376550946588166,2.960388208810072e-05,0.04579902553850104,0,0,1,Q1_low,auto_process,auto_process,0.0,0.0
0.3432210751049704,0.2710991435975575,0.2813916722676748,0.28539550192285945,0.3064165129952302,0.30932977280815654,0.2994756131160748,0.00048420692416407127,0.10100174925693592,0,0,1,Q2,manual_review,manual_review,1.0,1.0
